دستان خوش بیت	دەستان خۆش بێت
ماندو نه بن	ماندوو نەبن
دس خوش	دەس خۆش
لشتان ساق بیت	لەشتان ساغ بێت
کردستان بهشتی دنیای	کوردستان بەهەشتی دونیای
ایران ده سال تریش شت وایه دس ناکه وه	ئێران دە ساڵ تریش شت وایە دەس ناکەوێ
بە طلاقم هر اچم	بە تەڵاقم هەر ئەچم
اوه قدیم بو  	ئەوە قەدیم بوو 
دی مچن خو مجبور نین	دەی مەچن خۆ مەجبوور نین
به قور گیره	بە قوڕ گیرێ
بفرو سرمایه	بەفر و سەرمایە
کریوه خوشه	کڕێوە خۆشە
او گورانیه ناوی چیه	ئەو گۆرانییە ناوی چییە
بشکم هوا گرم بکا	بەشکم هەوا گەرم بکا
آهنگکی خوش	ئاهەنگێکی خۆش
اخ بو او خوشیه تان	ئاخ بۆ ئەو خۆشییەتان
قلبتان ساغ بیت	قەڵبتان ساغ بێت
براسی زحمتی زوره او کاره	بەڕاسی زەحمەتی زۆرە ئەو کارە
سلاوتان له به	سڵاوتان لێ بێ
خوا رحم بم بشرانه بکا	خوا ڕەحم بەم بەشەرانە بکا
خوزگم ب خوتان برا	خۆزگەم بە خۆتان برا
لة پیرانشار مترک باریوه	لە پیرانشار مترێک باریوە
گیان فداتم شارکم	گیان فیداتم شارەکەم
شهید نامره	شەهید نامرێ
شا خلک	شا خەڵک
اوج کرونا کاره عاقلانه نیه	ئەوج کۆڕۆنا کارێ عاقڵانە نییە
ماوه کی تر یادبودیان بو بگرن.	ماوەیەکی تر یادبوودیان بۆ بگرن.
بژی کاریکی زور جوانه	بژی کارێکی زۆر جوانە
بژی سقز	بژی سەقز
ایمه ی قور بسر چی بکین	ئێمەی قوڕ بەسەر چی بکەین
خو تازه گشتی ئه مره	خۆ تازە گشتی ئەمرێ
او چی بوه	ئەوە چی بووە
جا اوه له ایران هیه تا له مریوان ببیت	جا ئەوە لە ئێران هەیە تا لە مەریوان ببێت
من هلمگرتوە	من هەڵمگرتووە
وایه به داخو	وایە  بەداخەوە
مه لی پنجره بلی ده لاقە	مەڵێ پەنجەرە بڵێ دەلاقە
مه لی زه نگ بلی تله فوون	مەڵێ زەنگ بڵێ تەلەفوون
عه ک سلاوتان لیبیت	عەک سڵاوتان لێ بێت
خوشحال ابوین له ام خبره	خۆشحاڵ ئەبووین لە ئەم خەبەرە
انشاءالله قدمیان پر خیر وبرکت بی	ئینشائەڵڵا قەدەمیان پڕ خێر و بەرەکەت بێ
خدا پی یان بیلی	خودا پێیان بێڵێ
کورد اونه ظالمه	کورد ئەوەنە زاڵمە
خواتان لی راضی بیت	خواتان لێ ڕازی بێت
داوه شي ئه مه هه موي فارسي بو	داوەشی ئەمە هەمووی فارسی بوو
بخوا له ژنی ام سه ردمه باشتره	بەخوا لە ژنی ئەم سەردەمە باشترە
وینه تان زور بت	وێنەتان زۆر بێت
هربژین و همیشه سرکوتوبن	هەر بژین و هەمیشە سەرکەوتوو بن
او دیمنه زور زور جوانه	ئەو دیمەنە زۆر زۆر جوانە
ای مام ریوی	ئەی مام ڕێوی
